interfaceFqn	originalClassFile	outcome	bridgesAdded	reason
org.apache.hadoop.hbase.regionserver.compactions.CompactionRequestJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionRequest.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.regionserver.compactions.CompactionContextJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionContext.java	implemented	0	
org.apache.hadoop.hbase.regionserver.compactions.CompactionRequesterJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionRequester.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.regionserver.compactions.CompactionRequestImplJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionRequestImpl.java	implemented	0	
org.apache.hadoop.hbase.regionserver.compactions.CompactionPolicyJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionPolicy.java	implemented	0	
org.apache.hadoop.hbase.regionserver.ScannerContextJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ScannerContext.java	implemented	0	
org.apache.hadoop.hbase.regionserver.HRegionServerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java	implemented	0	
org.apache.hadoop.hbase.regionserver.ShipperListenerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ShipperListener.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.regionserver.LeaseManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/LeaseManager.java	implemented	0	
org.apache.hadoop.hbase.regionserver.MemStoreFlusherJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreFlusher.java	implemented	0	
org.apache.hadoop.hbase.regionserver.MultiVersionConcurrencyControlJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MultiVersionConcurrencyControl.java	implemented	0	
org.apache.hadoop.hbase.regionserver.StoreFileReaderJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileReader.java	implemented	0	
org.apache.hadoop.hbase.regionserver.HRegionJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java	implemented	0	
org.apache.hadoop.hbase.regionserver.StoreFlusherJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFlusher.java	implemented	0	
org.apache.hadoop.hbase.regionserver.BrokenStoreFileCleanerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/BrokenStoreFileCleaner.java	implemented	0	
org.apache.hadoop.hbase.regionserver.RegionServicesForStoresJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionServicesForStores.java	implemented	0	
org.apache.hadoop.hbase.regionserver.SystemExitWhenAbortTimeoutJVMInterface	not-found	noClassFound	0	class file not found
org.apache.hadoop.hbase.regionserver.MemStoreSizeJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreSize.java	implemented	0	
org.apache.hadoop.hbase.regionserver.LogRollerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/LogRoller.java	implemented	0	
org.apache.hadoop.hbase.master.ServerListenerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerListener.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.hbase.master.HMasterJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMaster.java	implemented	0	
org.apache.hadoop.hbase.master.snapshot.SnapshotManagerJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/snapshot/SnapshotManager.java	implemented	0	
org.apache.hadoop.hbase.master.hbck.HbckChoreJVMInterface	/Users/allenwang/xlab/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/master/hbck/HbckChore.java	implemented	0	
